symbol,expiryDate,tdyClose,tdyTraded,tdyDelivery,deliveryToTradeRatio,tdyOI
DISHTV,29-Aug-0019,23.0,22537161,2129985,9.0,29946000
BHEL,29-Aug-0019,51.35,13979685,4926248,35.0,8100000
NCC,29-Aug-0019,59.25,14048016,1181361,8.0,11184000
HINDZINC,29-Aug-0019,210.85,923453,272683,29.0,1942400
COALINDIA,29-Aug-0019,185.05,10791130,4530903,41.0,14854400
CASTROLIND,29-Aug-0019,123.8,1053407,431511,40.0,2414000
RELIANCE,29-Aug-0019,1263.3,5305639,1838944,34.0,12760000
ZEEL,29-Aug-0019,364.2,4279391,1318039,30.0,5471700
HINDALCO,29-Aug-0019,178.4,5851491,1382679,23.0,8550500
DHFL,29-Aug-0019,48.4,16935967,2074834,12.0,3748000
LT,29-Aug-0019,1344.65,2272465,1156367,50.0,3636000
BHARATFORG,29-Aug-0019,389.65,905159,233616,25.0,1723200
TVSMOTOR,29-Aug-0019,359.75,1168044,286642,24.0,1895300
M&M,29-Aug-0019,539.7,3322911,1540123,46.0,4746000
YESBANK,29-Aug-0019,59.5,223167624,24802738,11.0,62961800
GLENMARK,29-Aug-0019,378.4,769987,208027,27.0,1193000
ONGC,29-Aug-0019,121.2,11763326,6312447,53.0,22222500
ADANIPOWER,29-Aug-0019,59.25,7236667,1010539,13.0,21760000
MARICO,29-Aug-0019,390.95,1411348,742600,52.0,1656200
KOTAKBANK,29-Aug-0019,1483.65,2291006,1283704,56.0,3484800
MARUTI,29-Aug-0019,6103.4,1242304,341367,27.0,828600
NBCC,29-Aug-0019,35.95,20291829,3489476,17.0,10854500
UBL,29-Aug-0019,1329.4,203580,67602,33.0,436800
RBLBANK,29-Aug-0019,313.85,34931359,4608435,13.0,4454400
NIITTECH,29-Aug-0019,1523.4,978369,132089,13.0,579750
MRF,29-Aug-0019,57924.5,3434,775,22.0,6060
CANBK,29-Aug-0019,226.9,4772624,382093,8.0,2810000
ACC,29-Aug-0019,1542.35,643361,129571,20.0,386000
TATAGLOBAL,29-Aug-0019,280.05,7632634,1334828,17.0,2376000
ASIANPAINT,29-Aug-0019,1603.15,565676,191713,33.0,1752600
HCLTECH,29-Aug-0019,1123.95,3492642,1816445,52.0,3320100
SAIL,29-Aug-0019,31.1,24741665,3629729,14.0,36492000
