instrument,symbol,expiryDate,strikePrice,optionType,contracts,hammer,cmTdyClose,cmPrcntChgInClose,foTdyClose,foPrcntChgInClose,tdyOI,prcntChgInOI,tdyDelivery,prcntChgInDelivery,tdyDate,cmPrevsClose,foPrevsClose,prevsOI,prevsDelivery,prevsDate
FUTSTK,PNB,29-Aug-0019,0.0,XX,9863,,65.65,-2.0,65.7,0.0,27440000,0.0,3308203,-7.0,28-Aug-0019,67.15,65.7,27440000,3548831,28-Aug-0019
FUTSTK,PVR,29-Aug-0019,0.0,XX,1764,,1580.15,1.0,1579.7,0.0,286400,0.0,49329,-49.0,28-Aug-0019,1565.9,1579.7,286400,97001,28-Aug-0019
FUTSTK,RAYMOND,29-Aug-0019,0.0,XX,1792,,572.25,-3.0,573.2,0.0,855200,0.0,108645,-13.0,28-Aug-0019,587.25,573.2,855200,124869,28-Aug-0019
FUTSTK,WIPRO,29-Aug-0019,0.0,XX,3376,,249.25,0.0,249.65,0.0,6400000,0.0,1015269,-48.0,28-Aug-0019,250.1,249.65,6400000,1935704,28-Aug-0019
FUTSTK,JSWSTEEL,29-Aug-0019,0.0,XX,10732,,205.75,-4.0,206.0,0.0,6508000,0.0,1543106,-67.0,28-Aug-0019,213.4,206.0,6508000,4678937,28-Aug-0019
FUTSTK,RECLTD,29-Aug-0019,0.0,XX,2746,,140.9,-3.0,140.9,0.0,6330000,0.0,1329014,-44.0,28-Aug-0019,145.1,140.9,6330000,2365923,28-Aug-0019
FUTSTK,MINDTREE,29-Aug-0019,0.0,XX,3761,,677.1,-1.0,678.9,0.0,490800,0.0,363735,-68.0,28-Aug-0019,680.7,678.9,490800,1153969,28-Aug-0019
FUTSTK,HINDPETRO,29-Aug-0019,0.0,XX,2792,,265.05,2.0,264.8,0.0,2797200,0.0,2668968,-25.0,28-Aug-0019,259.75,264.8,2797200,3546631,28-Aug-0019
FUTSTK,BEL,29-Aug-0019,0.0,XX,2604,,103.7,0.0,103.55,0.0,8970000,0.0,4690003,28.0,28-Aug-0019,103.65,103.55,8970000,3662754,28-Aug-0019
FUTSTK,HEROMOTOCO,29-Aug-0019,0.0,XX,7401,,2568.5,-2.0,2574.3,0.0,564200,0.0,140610,-97.0,28-Aug-0019,2614.45,2574.3,564200,4299038,28-Aug-0019
